collection,graphs,distinct_stored_graphs,min_vertices,max_vertices,study_status
16v_srg,2,2,16,16,configured_in_notebook
25v_srg,15,15,25,25,available_in_sources
28v_srg,4,4,28,28,available_in_sources
26v_srg,10,10,26,26,available_in_sources
29v_srg,41,41,29,29,available_in_sources
6v_3reg,2,2,6,6,configured_in_notebook
7v_4reg,2,2,7,7,configured_in_notebook
8v_3reg,5,5,8,8,configured_in_notebook
8v_4reg,6,6,8,8,configured_in_notebook
8v_5reg,3,3,8,8,configured_in_notebook
9v_4reg,16,16,9,9,configured_in_notebook
9v_6reg,4,4,9,9,configured_in_notebook
10v_3reg,19,19,10,10,configured_in_notebook
10v_4reg,59,59,10,10,configured_in_notebook
10v_5reg,60,60,10,10,configured_in_notebook
10v_6reg,21,21,10,10,configured_in_notebook
10v_7reg,5,5,10,10,configured_in_notebook
11v_4reg,265,265,11,11,configured_in_notebook
11v_6reg,266,266,11,11,configured_in_notebook
12v_3reg,85,85,12,12,configured_in_notebook
12v_4reg,1544,1544,12,12,configured_in_notebook
12v_5reg,7848,7848,12,12,configured_in_notebook
13v_4reg,10778,10778,13,13,configured_in_notebook
14v_3reg,509,509,14,14,configured_in_notebook
16v_3reg,4060,4060,16,16,configured_in_notebook
18v_3reg,41301,41301,18,18,configured_in_notebook
14v_4reg,88168,88168,14,14,configured_in_notebook
4v_connected,6,6,4,4,configured_in_notebook
5v_connected,21,21,5,5,configured_in_notebook
6v_connected,112,112,6,6,configured_in_notebook
7v_connected,853,853,7,7,configured_in_notebook
10v_4reg_cospectral,4,4,10,10,configured_in_notebook
10v_5reg_cospectral,4,4,10,10,configured_in_notebook
11v_4reg_cospectral,28,28,11,11,configured_in_notebook
11v_6reg_cospectral,28,28,11,11,configured_in_notebook
12v_4reg_cospectral,254,254,12,12,configured_in_notebook
12v_5reg_cospectral,2664,2664,12,12,configured_in_notebook
13v_4reg_cospectral,1724,1724,13,13,configured_in_notebook
14v_3reg_cospectral,6,6,14,14,configured_in_notebook
14v_4reg_cospectral,11052,11052,14,14,configured_in_notebook
16v_3reg_cospectral,83,83,16,16,configured_in_notebook
18v_3reg_cospectral,946,946,18,18,configured_in_notebook
circular_ladder,8,8,6,20,configured_in_notebook
mobius_ladder,8,8,6,20,configured_in_notebook
special_pairs,4,4,16,20,configured_in_notebook
iqp_complete_family,20,20,3,22,configured_in_notebook
iqp_star_family,20,20,3,22,configured_in_notebook
iqp_path_family,20,20,3,22,configured_in_notebook
iqp_cycle_family,20,20,3,22,configured_in_notebook
iqp_wheel_family,17,17,3,19,configured_in_notebook
iqp_grid_family,20,17,1,20,configured_in_notebook
iqp_hexagonal_family,9,9,6,30,configured_in_notebook
iqp_triangular_family,12,12,3,13,configured_in_notebook
